Sequence number	Genus	Species
1	Carya	aguatica
2	Carya	alba
3	Carya	allida
4	Carya	cordiformis
5	Carya	glabra
6	Carya	hunanensis
7	Carya	kweichowensis
8	Carya	laciniosa
9	Carya	ovata
10	Carya	texana
11	Carya	tomentosa
12	Carya	tonkinensis
13	Cyclocarya	aliurus
14	Engelhardtia	colebrookiana
15	Engelhardtia	fenzellii
16	Engelhardtia	roxburghiana
17	Engelhardtia	serrata
18	Engelhardtia	spicata
19	Juglans	ailanthifolia
20	Juglans	cathayensis
21	Juglans	cinerea
22	Juglans	hindsii
23	Juglans	major
24	Juglans	mandshurica
25	Juglans	nigra
26	Juglans	regia
27	Juglans	sigillata
28	Oreomunnea	mexucana
29	Platycarya	longipes
30	Platycarya	strobilacea
31	Pterocarya	delavayi
32	Pterocarya	hupehensis
33	Pterocarya	rehderiana
34	Rhoiptelea	chiliantha
